,City,State,Country,Longitude,Latitude,Air Quality,Temperature,Humidity,Pressure,Wind Speed,Date
0,New York,New York,USA,-73.928596,40.694401,26,21,73,1018,4.6,2019-10-07
1,Los Angeles,California,USA,-118.2417,34.0669,33,27,42,1012,2.6,2019-10-07
2,Chicago,Illinois,USA,-87.7239,41.9136,16,18,34,1021,3.6,2019-10-07
3,Houston,Texas,USA,-95.3261,29.9011,62,25,69,1016,6.2,2019-10-07
4,Phoenix,Arizona,USA,-112.066299,33.560299,51,35,15,1011,4.1,2019-10-07
0,Philadelphia,Pennsylvania,USA,-75.080833,39.991389,8,22,69,1018,3.1,2019-10-07
1,San Antonio,Texas,USA,-98.332838,29.35291,35,28,42,1017,6.7,2019-10-07
2,San Diego,California,USA,-117.149651,32.701492,29,25,69,1012,5.7,2019-10-07
3,Dallas,Texas,USA,-96.86,32.82,1,25,31,1020,5.1,2019-10-07
4,San Jose,California,USA,-121.849892,37.338202,19,30,22,1013,3.6,2019-10-07
0,Austin,Texas,USA,-97.760002,30.3542,25,25,44,1019,4.1,2019-10-07
1,Jacksonville,Florida,USA,-81.5869,30.4758,24,22,100,1014,3.6,2019-10-07
2,Fort Worth,Texas,USA,-97.3414,32.7592,0,25,29,1021,5.7,2019-10-07
3,Columbus,Ohio,USA,-82.994404,40.002734,27,15,63,1022,2.1,2019-10-07
4,San Francisco,California,USA,-122.3978,37.7658,25,26,34,1013,4.6,2019-10-07
0,Indianapolis,Indiana,USA,-86.2147,39.7889,14,14,87,1022,1.13,2019-10-08
1,Charlotte,North Carolina,USA,-80.7831,35.2411,8,22,64,1017,3.1,2019-10-08
2,Seattle,Washington,USA,-122.308628,47.568236,13,15,77,1011,6.2,2019-10-08
3,Denver,Colorado,USA,-105.00523,39.7794,5,22,6,1019,4.1,2019-10-08
4,Boston,Massachusetts,USA,-71.0542,42.3631,5,20,64,1019,5.7,2019-10-08
0,El Paso,Texas,USA,-106.402802,31.7467,33,23,33,1021,4.6,2019-10-08
1,Detroit,Michigan,USA,-83.0689,42.3231,11,13,54,1021,2.93,2019-10-08
2,Portland,Oregon,USA,-122.635895,45.52598,49,18,63,1016,3.6,2019-10-08
3,Memphis,Tennessee,USA,-89.85022,35.151588,14,16,63,1021,4.1,2019-10-08
4,Oklahoma City,Oklahoma,USA,-97.577674,35.502968,21,18,37,1022,2.1,2019-10-08
0,Las Vegas,Nevada,USA,-115.1139,36.1639,41,28,6,1014,3.1,2019-10-08
1,Baltimore,Maryland,USA,-76.2967,39.41,34,21,69,1019,2.6,2019-10-08
2,Milwaukee,Wisconsin,USA,-87.9125,43.0611,20,12,66,1022,1.45,2019-10-08
3,Albuquerque,New Mexico,USA,-106.651901,35.0186,26,21,40,1023,4.6,2019-10-08
4,Tucson,Arizona,USA,-110.9822,32.2953,13,34,21,1013,2.1,2019-10-08
0,Fresno,California,USA,-119.773206,36.785378,27,30,18,1012,3.04,2019-10-08
1,Mesa,Arizona,USA,-111.8651,33.4105,4,35,15,1010,2.39,2019-10-08
2,Sacramento,California,USA,-121.368007,38.613804,21,30,16,1012,2.6,2019-10-08
3,Atlanta,Georgia,USA,-84.3578,33.7206,24,22,64,1017,3.6,2019-10-08
4,Kansas City,Missouri,USA,-94.570602,39.104698,15,16,52,1022,1.52,2019-10-08
0,Brookhaven,New York,USA,-72.91538,40.77927,5,20,77,1019,4.1,2019-10-07
1,Colorado Springs,Colorado,USA,-104.8286,38.848,28,16,12,1022,5.1,2019-10-08
2,Miami,Florida,USA,-80.2156,25.7947,21,24,88,1010,3.1,2019-10-08
3,Raleigh,North Carolina,USA,-78.574203,35.856098,12,22,78,1017,0.24,2019-10-08
4,Omaha,Nebraska,USA,-95.9731,41.2474,4,18,40,1020,2.1,2019-10-08
0,Long Beach,California,USA,-118.175278,33.792221,22,27,33,1012,6.2,2019-10-08
1,Virginia Beach,Virginia,USA,-75.985914,36.859521,5,22,83,1018,3.1,2019-10-08
2,Oakland,California,USA,-122.282402,37.8148,25,26,28,1013,4.6,2019-10-08
3,Minneapolis,Minnesota,USA,-93.2581,44.9536,22,13,58,1018,1.5,2019-10-08
4,Tulsa,Oklahoma,USA,-95.976402,36.206699,21,17,45,1022,1.38,2019-10-08
0,Arlington,Texas,USA,-97.0886,32.6558,2,23,36,1020,3.6,2019-10-08
1,Tampa,Florida,USA,-82.5383,27.8928,17,24,88,1010,4.1,2019-10-08
2,New Orleans,Louisiana,USA,-90.1014,29.9933,41,26,74,1015,4.6,2019-10-08
3,Wichita,Kansas,USA,-97.2972,37.6597,11,18,42,1022,2.1,2019-10-08
