,City,State/Province,Country,Longitude,Latitude,Air Quality,Temperature,Humidity,Pressure,Wind Speed,Date,Population
5,Wuhan,Hubei,China,114.4444954225,30.6332050564,50,17,82,1021,2.0,2019-10-08,10608000
30,Bangkok,Bangkok,Thailand,100.4888394,13.7292915,48,27,83,1013,2.6,2019-10-08,8281000
32,Tokyo,Tokyo,Japan,139.69171,35.6895,41,21,60,1009,5.7,2019-10-08,13617000
33,Sao Paulo,Sao Paulo,Brazil,-46.7689719,-23.6684611,37,20,88,1021,4.1,2019-10-08,12038000
35,Seoul,Seoul,South Korea,126.975961,37.564639,33,8,87,1024,0.5,2019-10-08,10290000
7,Xian,Shaanxi,China,109.0045118968,34.2156915597,28,15,77,1020,4.0,2019-10-08,8705000
21,Moscow,Moscow,Russia,37.61556,55.75222,26,2,64,1014,3.0,2019-10-08,13197596
11,Dalian,Liaoning,China,121.627801496,38.8703171744,25,16,58,1022,3.0,2019-10-08,5900000
27,Mexico City,Mexico City,Mexico,-99.12766,19.42847,21,17,63,1029,4.1,2019-10-08,8919000
37,New York,New York,USA,-73.928596,40.694401,13,16,59,1025,4.1,2019-10-08,8550000
26,London,England,United Kingdom,0.040725,51.456357,12,13,76,1005,10.3,2019-10-08,8674000
