,City,State/Province,Country,Longitude,Latitude,Air Quality,Temperature,Humidity,Pressure,Wind Speed,Date,Population
19,Chennai,Tamil Nadu,India,80.27847,13.08784,166,29,83,1011,2.6,2019-10-08,7088000
17,Delhi,Delhi,India,77.1167,28.6683,161,28,57,1012,1.32,2019-10-08,11035000
12,Suzhou,Jiangsu,China,120.7991647885,31.3644727803,160,17,77,1022,3.0,2019-10-08,5468000
14,Dhaka,Dhaka,Bangladesh,90.4232701,23.7959872,158,28,83,1013,2.6,2019-10-08,14543000
16,Lahore,Punjab,Pakistan,74.377744,31.50642,157,24,47,1012,3.1,2019-10-08,10355000
20,Hyderabad,Telangana,India,78.45636,17.38405,153,24,94,1014,2.52,2019-10-08,6809000
1,Zhengzhou,Henan,China,113.3072116,34.8119274,152,18,77,1022,1.0,2019-10-08,6406000
22,Baghdad,Baghdad,Iraq,44.40088,33.34058,141,33,33,1014,2.1,2019-10-08,8765000
8,Nanjing,Jiangsu,China,118.9207246044,32.0926314474,129,15,93,1023,1.0,2019-10-08,8460000
24,Jakarta,Jakarta,Indonesia,106.79324,-6.236704,127,24,78,1012,2.1,2019-10-08,9608000
4,Guangzhou,Guangdong,China,113.438526,23.101311,124,26,69,1016,2.0,2019-10-08,11548000
2,Hangzhou,Zhejiang,China,120.1679188592,30.2920431172,118,18,77,1022,2.0,2019-10-08,7082000
18,Mumbai,Maharashtra,India,72.88261,19.07283,94,31,74,1010,6.74,2019-10-08,12400000
28,Lima,Lima,Peru,-76.9689867,-12.1004219,91,16,82,1014,3.1,2019-10-08,9752000
10,Qingdao,Shandong,China,120.3844281837,36.1052149013,91,11,57,1023,3.0,2019-10-08,6188000
9,Shenyang,Liaoning,China,123.519825,41.74871,86,8,40,1019,2.0,2019-10-08,6255000
3,Shenzhen,Guangdong,China,113.978554,22.540485,76,27,69,1016,7.2,2019-10-08,11908000
23,Tehran,Tehran,Iran,51.499,35.63,74,24,13,1023,4.1,2019-10-08,8847000
13,Rio de Janeiro,Rio de Janeiro,Brazil,-43.18223,-22.90642,74,24,83,1016,2.1,2019-10-08,6454000
34,Ho Chi Minh City,Ho Chi Minh City,Vietnam,106.700035,10.782773,73,29,79,1012,2.6,2019-10-08,8426000
0,Tianjin,Tianjin,China,117.213363,39.22679,72,14,66,1021,2.0,2019-10-08,12784000
6,Chengdu,Sichuan,China,104.0570029,30.65547329999999,72,18,77,1018,1.0,2019-10-08,10152000
36,Los Angeles,California,USA,-118.2417,34.0669,69,18,64,1012,0.77,2019-10-08,4000000
29,Cairo,Cairo,Egypt,31.24967,30.06263,66,31,29,1014,4.6,2019-10-08,9500000
31,Lagos,Lagos,Nigeria,3.428268,6.455455,64,25,88,1010,2.1,2019-10-08,8048000
15,Karachi,Sindh,Pakistan,67.05294147133827,24.818095393631435,63,29,62,1012,5.1,2019-10-08,18000000
25,Santiago,Santiago Metropolitan,Chile,-70.72019259999999,-33.4242189,60,23,33,1017,2.1,2019-10-08,6158000
5,Wuhan,Hubei,China,114.4444954225,30.6332050564,50,17,82,1021,2.0,2019-10-08,10608000
30,Bangkok,Bangkok,Thailand,100.4888394,13.7292915,48,27,83,1013,2.6,2019-10-08,8281000
32,Tokyo,Tokyo,Japan,139.69171,35.6895,41,21,60,1009,5.7,2019-10-08,13617000
33,Sao Paulo,Sao Paulo,Brazil,-46.7689719,-23.6684611,37,20,88,1021,4.1,2019-10-08,12038000
35,Seoul,Seoul,South Korea,126.975961,37.564639,33,8,87,1024,0.5,2019-10-08,10290000
7,Xian,Shaanxi,China,109.0045118968,34.2156915597,28,15,77,1020,4.0,2019-10-08,8705000
21,Moscow,Moscow,Russia,37.61556,55.75222,26,2,64,1014,3.0,2019-10-08,13197596
11,Dalian,Liaoning,China,121.627801496,38.8703171744,25,16,58,1022,3.0,2019-10-08,5900000
27,Mexico City,Mexico City,Mexico,-99.12766,19.42847,21,17,63,1029,4.1,2019-10-08,8919000
37,New York,New York,USA,-73.928596,40.694401,13,16,59,1025,4.1,2019-10-08,8550000
26,London,England,United Kingdom,0.040725,51.456357,12,13,76,1005,10.3,2019-10-08,8674000
