,NAME,STNAME,POPESTIMATE2018
46586,New York,New York,8398748
3090,Los Angeles,California,3990456
8172,Chicago,Illinois,2705994
71683,Houston,Texas,2325502
1608,Phoenix,Arizona,1660272
66100,Philadelphia,Pennsylvania,1584138
72159,San Antonio,Texas,1532233
3750,San Diego,California,1425976
71459,Dallas,Texas,1345047
3820,San Jose,California,1030119
71240,Austin,Texas,964254
5204,Jacksonville,Florida,903889
71562,Fort Worth,Texas,895008
54088,Columbus,Ohio,892533
3222,San Francisco,California,883305
15886,Indianapolis,Indiana,876862
49731,Charlotte,North Carolina,872498
76193,Seattle,Washington,744955
3991,Denver,Colorado,716492
28785,Boston,Massachusetts,694583
71526,El Paso,Texas,682669
28991,Detroit,Michigan,672662
61051,Portland,Oregon,653115
71093,Memphis,Tennessee,650618
59900,Oklahoma City,Oklahoma,649021
43983,Las Vegas,Nevada,644644
27964,Baltimore,Maryland,602495
77550,Milwaukee,Wisconsin,592025
45938,Albuquerque,New Mexico,560218
1636,Tucson,Arizona,545975
3403,Fresno,California,530093
1500,Mesa,Arizona,508958
3209,Sacramento,California,508529
6023,Atlanta,Georgia,498044
39240,Kansas City,Missouri,491918
49197,Brookhaven,New York,482436
3975,Colorado Springs,Colorado,472688
5275,Miami,Florida,470914
50031,Raleigh,North Carolina,469298
42320,Omaha,Nebraska,468262
3085,Long Beach,California,467354
75511,Virginia Beach,Virginia,450189
3342,Oakland,California,429082
33076,Minneapolis,Minnesota,425403
60035,Tulsa,Oklahoma,400669
71232,Arlington,Texas,398112
5625,Tampa,Florida,392890
26791,New Orleans,Louisiana,391006
24927,Wichita,Kansas,389255
55736,Cleveland,Ohio,383793
